beer_id,beer_name,name,use,time,amount,amount_is_weight,notes
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'Lactose'],[u'Boil'],[u'10.0'],[u'8.0'],[u'false'],[]
citripa,[u'Citripa'],[],[],[],[],[],[]
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[],[],[],[],[],[]
snow-shovel-helles-2011-06-09-version,[u'Snow Shovel Helles (2011-06-09 version)'],[u'Gypsum (Calcium Sulfate)'],[u'Mash'],[u'60.0'],[u'0.0352739619495804'],[u'false'],[u'Reduces PH of water.']
honey-citra-pale,[u'Honey Citra Pale'],[u'Whirlfloc Tablet'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
fresh-hop-ipa-16,[u'Fresh Hop IPA'],[],[],[],[],[],[]
double-dawg-dare-ipa-v2,[u'Double Dawg Dare IPA V2'],[u'Whirlfloc Tablet'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
ommegang-abbey-ale,[u'Ommegang Abbey Ale'],[u'Star Anise'],[u'Boil'],[u'1.0'],[u'0.1'],[u'false'],[]
brett-saison-7,[u'Brett Saison'],[],[],[],[],[],[]
pumpkin-beer-27,[u'Pumpkin Beer'],[u'Vanilla Extract'],[u'Boil'],[u'5.0'],[u'0.5'],[u'false'],[]
northern-brewer-plinian-legacy-extract-and-specialty-grains-kit,[u'Northern Brewer Plinian Legacy (extract and specialty grains) kit'],[],[],[],[],[],[]
toasted-oat-ale,[u'Toasted Oat Ale'],[],[],[],[],[],[]
the-drowned-gourd,[u'The Drowned Gourd'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],[]
chili-willi,[u'Chili Willi'],[],[],[],[],[],[]
fatcat-brewery-chocolate-banana-oatmeal-stout,[u'FatCat Brewery Chocolate Banana Oatmeal Stout'],[u'Vanilla Beans'],[u'Bottle'],[u'2.0'],[u'1.0'],[u'false'],[]
the-three-amigos-1,[u'The three amigos'],[],[],[],[],[],[]
shattered-wings-caa4b4,[u'Shattered Wings'],[u'Calcium Carbonate'],[u'Mash'],[u'60.0'],[u'2.0'],[u'false'],[]
otto-ale-black-coffee-ipa,[u'Otto Ale Black Coffee IPA'],[u'Coffee (Brewed)'],[u'Boil'],[u'1.0'],[u'4.0'],[u'false'],[]
hibernation-1,[u'Hibernation'],[u'Vanilla Beans'],[u'Boil'],[u'5.0'],[u'1.0'],[u'false'],[]
two-hearted-ale,[u'Two Hearted Ale'],[u'Yeast Nutrient (Wyeast)'],[u'Boil'],[u'60.0'],[u'1.0'],[u'false'],"[u'A blend of vitamins, minerals, amino acids, nitrogen compounds, zinc, and other elements benefical for fermentation. Use 1/2 tsp. per five gallons, last 15 min of boil.']"
all-brett-pale-f6d4e8,[u'All Brett Pale'],[],[],[],[],[],[]
arrogant-bastard-clone-42,[u'Arrogant Bastard Clone'],[],[],[],[],[],[]
honeybadger-red-ale-ag,[u'Honeybadger Red Ale AG'],[],[],[],[],[],[]
bens-freshies-pale-ale,"[u""Ben's Freshies Pale Ale""]",[],[],[],[],[],[]
la-chouffe-clone-1,[u'la chouffe clone'],[u'Coriander Seed'],[u'Boil'],[u'5.0'],[u'0.4'],[u'false'],[]
irish-red-ale-mw,[u'Irish Red Ale (MW)'],[],[],[],[],[],[]
fathers-day-ale-newcastle,"[u""Father's Day Ale (Newcastle)""]",[],[],[],[],[],[]
rons-honey-wheat-1,"[u""Ron's Honey Wheat""]",[u'Coriander Seed'],[u'Boil'],[u'1.0'],[u'2.0'],[u'false'],[]
stocktake-pilsner,[u'Stocktake Pilsner'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'10.0'],[u'false'],[]
summer-citrus-pale-ale-1,[u'Summer Citrus Pale Ale'],[u'Irish Moss'],[u'Mash'],[u'10.0'],[u'1.0'],[u'false'],[]
mad-russian-wedding,[u'Mad Russian Wedding'],[u'Whirlfloc Tablet'],[u'Boil'],[u'10.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
highlander-ale,[u'Highlander Ale'],[],[],[],[],[],[]
mo-1210-smash-033993,[u'MO/1210 SMaSH'],[],[],[],[],[],[]
double-b-wit,[u'Double B Wit'],[u'Coriander Seed'],[u'Boil'],[u'10.0'],[u'3.0'],[u'false'],[]
ten-gallon-shandy-base,[u'Ten Gallon Shandy Base'],[u'Blueberries (Frozen)'],[u'Secondary'],[u'7.0'],[u'7.0'],[u'false'],[]
irish-stout-2-8,[u'Irish Stout 2/8'],[],[],[],[],[],[]
forever-lager,[u'Forever Lager'],[],[],[],[],[],[]
southern-northern-brown,[u'Southern Northern Brown'],[u'Whirlfloc Tablet'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
ltbier,[u'\xc4ltbier'],[],[],[],[],[],[]
jamils-oatmeal-stout,"[u""Jamil's Oatmeal Stout""]",[],[],[],[],[],[]
irish-dry-stout-6,[u'Irish Dry Stout'],[],[],[],[],[],[]
american-amber-12,[u'American Amber'],[u'Irish Moss'],[u'Boil'],[u'10.0'],[u'1.0'],[u'false'],[]
amadan-wee-heavy-scotch-ale,[u'Amadan Wee Heavy Scotch Ale'],[u'Yeast Energizer'],[u'Boil'],[u'10.0'],[u'3.0'],[u'false'],[]
little-rascal-esb,[u'Little Rascal ESB'],[],[],[],[],[],[]
black-sour-1,[u'Black Sour'],[],[],[],[],[],[]
coffee-porter-21,[u'Coffee Porter'],[u'Coffee (Brewed)'],[u'Secondary'],[u'14.0'],[u'1.0'],[u'false'],[]
blue-moon-clone-ii,[u'Blue Moon Clone II'],[u'Coriander Seed'],[u'Boil'],[u'10.0'],[u'1.0'],[u'false'],[]
amarillo-pale-ale-midwest,[u'Amarillo Pale Ale (Midwest)'],[],[],[],[],[],[]
bs-pils,"[u""B's Pils""]",[u'Irish Moss'],[u'Boil'],[u'20.0'],[u'1.0'],[u'false'],[]
tongue-tickler-pilsner,[u'Tongue Tickler Pilsner'],[u'Irish Moss'],[u'Boil'],[u'10.0'],[u'1.0'],[u'false'],[]
spanish-moon-brown-porter,[u'Spanish Moon Brown Porter'],[u'Vanilla Extract'],[u'Secondary'],[u'10.0'],[u'3.0'],[u'false'],[]
raw-amber-ale,[u'Raw Amber Ale'],[u'Whirlfloc Tablet'],[u'Boil'],[u'5.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
sierra-nevada-torpedo-clone-1,[u'Sierra Nevada Torpedo Clone'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'3.0'],[u'false'],[]
