beer_id,beer_name,mash_type,brewer,batch_size,boil_size,efficiency
nasty-nates-armadillo,"[u""Nasty Nate's Armadillo""]",[u'Extract'],[u'White Antelope'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
brians-bawdy-berliner,"[u""Brian's Bawdy Berliner""]",[u'All Grain'],[u'jivex5k'],[u'18.9270589'],[u'19.873411845'],[u'75.0']
an-ale-supreme,[u'An Ale Supreme'],[u'All Grain'],[u'Rockduded'],[u'18.9270589'],[u'23.658823625'],[u'70.0']
rye-saison-89,[u'RYE SAISON'],[u'All Grain'],[u'Cornbread'],[u'11.35623534'],[u'16.2394165362'],[u'62.0']
oatmeal-stout-toasted,[u'Oatmeal Stout (Toasted)'],[u'All Grain'],[u'hussle52'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
blueberry-spring-beer,[u'Blueberry Spring Beer'],[u'All Grain'],[u'Richard Yeates'],[u'9.46352945'],[u'11.35623534'],[u'75.0']
country-bumpkinweizen,[u'Country Bumpkinweizen'],[u'All Grain'],[u'jcutman'],[u'20.81976479'],[u'27.065694227'],[u'75.0']
centennial-blonde-56,[u'Centennial Blonde'],[u'All Grain'],[u'trappistpunk'],[u'20.81976479'],[u'26.0247059875'],[u'75.0']
wilder-ginger,[u'Wilder Ginger'],[u'Extract'],[u'antagon'],[u'25.0'],[u'6.6'],[u'100.0']
dont-push-back-strawberry-blonde,"[u""Don't Push Back Strawberry Blonde""]",[u'All Grain'],[u'darshak'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
sqhell,[u'SQHELL'],[u'All Grain'],[u'David Mann'],[u'18.9270589'],[u'23.658823625'],[u'75.111']
weihenstephaner-hefe-weissbier-1-1,[u'Weihenstephaner Hefe Weissbier #1'],[u'All Grain'],[u'propush'],[u'22.0'],[u'6.972'],[u'75.0']
2-summer-smash-ipa,[u'#2 Summer SMaSH IPA'],[u'All Grain'],[u'gnadlaf'],[u'20.0'],[u'25.06'],[u'75.0']
oud-bruin-ea27b5,[u'Oud Bruin'],[u'All Grain'],[u'ribs'],[u'20.81976479'],[u'26.876423638'],[u'75.0']
citra-mosaic-half-hearted-edec03,[u'Citra Mosaic Half Hearted'],[u'All Grain'],[u'Frogmanx82'],[u'41.63952958'],[u'47.31764725'],[u'75.0']
bismarck-pils,[u'Bismarck Pils'],[u'All Grain'],[u'chiefsparger'],[u'18.9270589'],[u'27.0278401092'],[u'78.0']
tank-7-farmhose-clone,[u'tank 7 farmhose clone'],[u'All Grain'],[u'tim'],[u'20.81976479'],[u'29.7533365908'],[u'70.0']
azacca-smash-1,[u'Azacca SMASH'],[u'All Grain'],[u'GuanacaCurlZ'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
fullers-london-pride-2,"[u""Fuller's London Pride""]",[u'All Grain'],[u'Tim Durack'],[u'11.3940894578'],[u'14.195294175'],[u'75.0']
tan-clone-bass-ale,[u'Tan (Clone - Bass Ale)'],[u'All Grain'],[u'Michael Rising'],[u'19.911265962799998'],[u'28.6555671746'],[u'85.0']
hefeweizen-72,[u'Hefeweizen'],[u'All Grain'],[u'bjbreisc'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
optimator-beer-captured-recipe,[u'Optimator - Beer Captured Recipe'],[u'All Grain'],[u'Doug'],[u'22.71247068'],[u'32.4409789546'],[u'70.0']
irish-red-2011,[u'Irish Red 2011'],[u'All Grain'],[u'JLP'],[u'20.781910672200002'],[u'26.0436330464'],[u'70.0']
amerikanische-kolsch-nummer-eins,[u'Amerikanische Kolsch Nummer Eins'],[u'All Grain'],[u'Bert Derp'],[u'22.71247068'],[u'28.39058835'],[u'80.0']
2012-scottish-ale,[u'2012 Scottish Ale'],[u'All Grain'],[u'Chestersbrew'],[u'34.1065601378'],[u'48.680395490799995'],[u'75.0']
mighty-munich-dunkel,[u'Mighty Munich Dunkel'],[u'All Grain'],[u'FatCat'],[u'20.781910672200002'],[u'26.0436330464'],[u'72.0']
milk-chocolate-peanut-butter-stout,[u'Milk Chocolate Peanut Butter Stout'],[u'All Grain'],[u'Muns0ned'],[u'37.8541178'],[u'45.42494136'],[u'72.0']
fruit-bomb-apa,[u'Fruit Bomb APA'],[u'Extract'],[u'Kyle Kestell'],[u'37.8541178'],[u'41.63952958'],[u'75.0']
voluptious-milk-stout,"[u'Voluptious, Milk Stout']",[u'All Grain'],[u'notoriousbrew'],[u'41.63952958'],[u'49.967435496'],[u'75.0']
centennial-esb-1,[u'Centennial ESB'],[u'All Grain'],[u'Contrafact'],[u'20.0'],[u'6.336'],[u'78.0']
permafrost-white-ipa-northern-brewer,[u'Permafrost White IPA (Northern Brewer)'],[u'All Grain'],[u'Chairface Chippendale'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
rosemary-orange-saison-3-gal,[u'Rosemary Orange Saison (3 gal)'],[u'Extract'],[u'clockworkjpm'],[u'11.35623534'],[u'13.627482408'],[u'75.0']
13003-black-pepper-saison,[u'#13003 Black Pepper Saison'],[u'All Grain'],[u'katjelam'],[u'50.0'],[u'21.24'],[u'75.0']
houblon-chouffe-aka-hopchewy,[u'Houblon Chouffe aka HopChewy'],[u'All Grain'],[u'chaos2uHoublonThristyUthristy'],[u'19.0027671356'],[u'27.0278401092'],[u'75.0']
citra-pale-ale-124,[u'Citra Pale Ale'],[u'All Grain'],[u'John Hernandez'],[u'41.63952958'],[u'47.885459017'],[u'65.0']
session-able-ipa,[u'Session-able IPA'],[u'All Grain'],[u'Matt L'],[u'20.81976479'],[u'26.0436330464'],[u'75.0']
dogfish-head-punkin-clone-1,[u'Dogfish Head Punkin Clone'],[u'All Grain'],[u'SheBeer'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
spjs-strong-ginger-beer-ging-arrg-beer,"[u'SPJ\'s Strong Ginger Beer (""Ging-Arrg!! Beer"")']",[u'Extract'],[u'ShotPutJones'],[u'18.9270589'],[u'20.81976479'],[u'75.0']
kona-coffee-stout,[u'Kona Coffee Stout'],[u'All Grain'],[u'AlexFields'],[u'24.60517657'],[u'30.7753977714'],[u'75.0']
jamils-weizenbock,"[u""Jamil's Weizenbock""]",[u'All Grain'],[u'Nick Hudson'],[u'22.71247068'],[u'28.39058835'],[u'70.0']
munich-dunkel-28,[u'Munich Dunkel'],[u'Partial Mash'],[u'Tony'],[u'18.9270589'],[u'20.441223612'],[u'75.0']
english-bitter-45,[u'English Bitter'],[u'All Grain'],[u'deadhead'],[u'22.71247068'],[u'30.28329424'],[u'75.0']
robert-burns-250th-anniversary-auld-reekie-wee-heavy-scotch-ale,"[u'Robert Burns\' 250th Anniversary ""Auld Reekie"" Wee Heavy Scotch Ale']",[u'Partial Mash'],[u'rlieuallen67'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
samuel-smith-oatmeal-stout-2,[u'Samuel Smith Oatmeal Stout'],[u'All Grain'],[u'Devin'],[u'15.103793002200002'],[u'18.9270589'],[u'58.0']
strawberry-wheat-7,[u'Strawberry Wheat'],[u'Extract'],[u'Mike Reynolds'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
lavender-saison,[u'Lavender Saison '],[u'Extract'],[u'lyt1214'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
marzen-panzer,[u'Marzen Panzer'],[u'All Grain'],[u'madmax989'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
the-albino-white-mocha-stout,"[u""'The Albino' White Mocha Stout""]",[u'All Grain'],[u'Stephen and Maria Kingsbury'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
vanilla-oatmeal-stout-1,[u'Vanilla Oatmeal Stout'],[u'All Grain'],[u'Match'],[u'23.0'],[u'9.34'],[u'75.0']
chimay-red-clone-5,[u'Chimay Red Clone'],[u'All Grain'],[u'Ellison'],[u'20.781910672200002'],[u'26.0436330464'],[u'75.0']
duvel-clone-4cac8f,[u'Duvel Clone'],[u'All Grain'],[u'Shibolet'],[u'23.0'],[u'12.38'],[u'75.0']
pliny-the-elder-clone-86,[u'Pliny the Elder Clone'],[u'All Grain'],[u'traxler'],[u'22.71247068'],[u'27.254964816'],[u'75.0']
nilssons-svart,[u'Nilssons Svart'],[u'All Grain'],[u'thomanil'],[u'25.0'],[u'8.58'],[u'65.0']
vanilla-milk-stout-14,[u'Vanilla Milk Stout'],[u'All Grain'],[u'VTBrewCrew'],[u'18.9270589'],[u'24.60517657'],[u'75.0']
peanut-butter-porter-18,[u'Peanut Butter Porter'],[u'All Grain'],[u'Derek Gillespie'],[u'18.9270589'],[u'24.226635392000002'],[u'75.0']
lime-pepper-saison,[u'Lime Pepper Saison'],[u'All Grain'],[u'MrFinn'],[u'10.599152984'],[u'13.24894123'],[u'75.0']
northern-brewer-dead-ringer-ipa,[u'Northern Brewer Dead Ringer IPA'],[u'All Grain'],[u'abuker'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
kansai-cranberry-christmas-porter-2014,[u'Kansai Cranberry Christmas Porter 2014'],[u'All Grain'],[u'KansaiBeerLovers'],[u'4.0'],[u'1.272'],[u'75.0']
chilly-willy-winter-warmer,[u'Chilly Willy Winter Warmer'],[u'All Grain'],[u'UrbanHops'],[u'22.71247068'],[u'28.39058835'],[u'63.0']
tunnocks-tea-cake-porter,"[u""Tunnock's Tea Cake (Porter)""]",[u'All Grain'],[u'Scelerat'],[u'20.5'],[u'6.504'],[u'75.0']
chinook-rye-ipa-1,[u'Chinook Rye IPA'],[u'All Grain'],[u'RattyA'],[u'18.9270589'],[u'23.658823625'],[u'70.0']
stored-xss-biab-apa,[u'Stored XSS - BIAB APA'],[u'All Grain'],[u'M\xe4ri\xf6 Liny'],[u'12.5'],[u'4.026'],[u'66.0']
dutch-apple-ale,[u'Dutch Apple Ale'],[u'Partial Mash'],[u'Anonymous'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
dogfish-smashin-punkin-clone,"[u""DogFish 'smashin' Punkin Clone""]",[u'All Grain'],[u'Dry County Brewing'],[u'22.71247068'],[u'27.254964816'],[u'75.0']
ziggy-spacedust-ipa-a-smaller-space-dust-clone,[u'Ziggy Spacedust IPA (a smaller Space Dust clone)'],[u'All Grain'],[u'PetitChouffe'],[u'11.35623534'],[u'14.195294175'],[u'70.0']
morning-has-broken-iipa,[u'Morning Has Broken IIPA'],[u'Extract'],[u'zefbarnes'],[u'20.81976479'],[u'22.901741269'],[u'75.0']
colt-177-v3,[u'Colt .177 v.3'],[u'All Grain'],[u'Jo3sh'],[u'41.63952958'],[u'49.967435496'],[u'75.0']
wesley-snipes-chocolate-stout,[u'Wesley Snipes Chocolate Stout'],[u'All Grain'],[u'SeanKeith'],[u'18.9270589'],[u'22.71247068'],[u'60.0']
ska-modus-hoperandi-clone,[u'Ska Modus Hoperandi Clone'],[u'All Grain'],[u'Uziyahu'],[u'13.24894123'],[u'27.254964816'],[u'75.0']
pimped-biscuit-2978ed,[u'Pimped Biscuit'],[u'All Grain'],[u'tsvercauteren'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
lenticular,[u'Lenticular'],[u'All Grain'],[u'markpeace'],[u'21.0'],[u'9.3'],[u'65.0']
extract-founders-breakfast-stout-clone,[u'Extract Founders Breakfast Stout Clone'],[u'Extract'],[u'JackSchutter'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
