beer_id,beer_name,name,use,time,amount,amount_is_weight,notes
lime-pepper-saison,[u'Lime Pepper Saison'],[u'Lime Zest'],[u'Boil'],[u'1.0'],[u'0.5'],[u'false'],[]
northern-brewer-dead-ringer-ipa,[u'Northern Brewer Dead Ringer IPA'],[],[],[],[],[],[]
kansai-cranberry-christmas-porter-2014,[u'Kansai Cranberry Christmas Porter 2014'],[u'Dried Cranberries'],[u'Boil'],[u'10.0'],[u'50.0'],[u'false'],[]
chilly-willy-winter-warmer,[u'Chilly Willy Winter Warmer'],[u'Nutmeg (Ground)'],[u'Secondary'],[u'1.0'],[u'0.125'],[u'false'],[]
tunnocks-tea-cake-porter,"[u""Tunnock's Tea Cake (Porter)""]",[u'Cocoa Powder'],[u'Boil'],[u'10.0'],[u'200.0'],[u'false'],[]
chinook-rye-ipa-1,[u'Chinook Rye IPA'],[],[],[],[],[],[]
stored-xss-biab-apa,[u'Stored XSS - BIAB APA'],[],[],[],[],[],[]
dutch-apple-ale,[u'Dutch Apple Ale'],[u'Cinnamon (Ground)'],[u'Boil'],[u'10.0'],[u'2.0'],[u'false'],[]
dogfish-smashin-punkin-clone,"[u""DogFish 'smashin' Punkin Clone""]",[u'Allspice'],[u'Boil'],[u'15.0'],[u'1.5'],[u'false'],[]
ziggy-spacedust-ipa-a-smaller-space-dust-clone,[u'Ziggy Spacedust IPA (a smaller Space Dust clone)'],[],[],[],[],[],[]
morning-has-broken-iipa,[u'Morning Has Broken IIPA'],[u'American Oak Cubes (Medium Toast)'],[u'Secondary'],[u'6.0'],[u'2.0'],[u'false'],[]
colt-177-v3,[u'Colt .177 v.3'],[],[],[],[],[],[]
wesley-snipes-chocolate-stout,[u'Wesley Snipes Chocolate Stout'],[u'Coffee (Ground)'],[u'Boil'],[u'10.0'],[u'2.0'],[u'false'],[]
ska-modus-hoperandi-clone,[u'Ska Modus Hoperandi Clone'],[],[],[],[],[],[]
pimped-biscuit-2978ed,[u'Pimped Biscuit'],[],[],[],[],[],[]
lenticular,[u'Lenticular'],[],[],[],[],[],[]
extract-founders-breakfast-stout-clone,[u'Extract Founders Breakfast Stout Clone'],[u'Maple Syrup'],[u'Bottle'],[u'1.0'],[u'10.0'],[u'false'],[]
lawnmower-kolsch-4,[u'Lawnmower Kolsch'],[],[],[],[],[],[]
clone-saison-dupont,[u'Clone - Saison Dupont'],[u'Corn Sugar'],[u'Bottle'],[u'14.0'],[u'6.0'],[u'false'],[]
raging-red-irish-red-ale,[u'Raging Red Irish Red Ale'],[],[],[],[],[],[]
green-man-esb,[u'Green Man E.S.B.'],[],[],[],[],[],[]
stone-xocoveza-clone-f026d4,[u'Stone Xocoveza Clone'],[u'Pasilla Chili Dried'],[u'Secondary'],[u'7.0'],[u'2.0'],[u'false'],[]
blanche-au-th-vert-green-tea,[u'Blanche au th\xe9 vert (green tea)'],"[u'Tea, Green']",[u'Secondary'],[u'10.0'],[u'3.52739619495804'],[u'false'],[]
121-gigawit,[u'1.21 Gigawit'],[u'Coriander Seed'],[u'Boil'],[u'5.0'],[u'0.75'],[u'false'],[]
nb-caribou-slobber-9,[u'NB Caribou Slobber'],[],[],[],[],[],[]
cascade-orange-pale-ale-1,[u'Cascade Orange Pale Ale'],[u'Orange Zest'],[u'Boil'],[u'5.0'],[u'4.0'],[u'false'],[]
tafys-rye-pils,"[u""Tafy's Rye Pils""]",[],[],[],[],[],[]
ace-of-spades-black-ipa-1,[u'Ace of Spades Black IPA'],[],[],[],[],[],[]
summer-solstice-wit,[u'Summer Solstice Wit'],[u'Bitter Orange Peel'],[u'Boil'],[u'10.0'],[u'6.0'],[u'false'],[]
sierra-nevada-pale-ale-clone-15,[u'Sierra Nevada Pale Ale Clone'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'3.0'],[u'false'],[]
patersbier-25,[u'Patersbier'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],[]
oataa,[u'Oataa'],[u'Yeast Nutrient (Wyeast)'],[u'Boil'],[u'10.0'],[u'1.0'],[u'false'],"[u'A blend of vitamins, minerals, amino acids, nitrogen compounds, zinc, and other elements benefical for fermentation. Use 1/2 tsp. per five gallons, last 15 min of boil.']"
hawaiian-pale-ale-1,[u'Hawaiian Pale Ale'],[u'Whole Pineapple cut up'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],[]
caribou-slobber-38,[u'Caribou Slobber'],[],[],[],[],[],[]
jamils-north-german-altbier,"[u""Jamil's North German Altbier""]",[],[],[],[],[],[]
2015-galaxy,[u'2015 Galaxy'],[u'Sweet Orange Peel'],[u'Boil'],[u'10.0'],[u'0.5'],[u'false'],[]
lucky-jack,[u'Lucky Jack'],[],[],[],[],[],[]
iron-beard-dark,[u'Iron Beard Dark'],[],[],[],[],[],[]
