beer_id,beer_name,name,origin,_type,_yield,amount,potential,color,add_after_boil,coarse_fine_diff,moisture,diastatic_power,protein,max_in_batch,recommend_mash,ibu_gal_per_lb,notes
pompous-prick-porter,[u'Pompous Prick Porter'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
pompous-prick-porter,[u'Pompous Prick Porter'],[u'Pale 2-Row (US)'],[],[u'Base Malt'],[u'79.89635068019865'],[u'4.082331330000001'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
pompous-prick-porter,[u'Pompous Prick Porter'],[u'Munich - Light 10L (US)'],[],[u'Kilned Malt'],[u'71.25890736342042'],[u'0.45359237'],[u'1.033'],[u'10'],[],[],[],[],[],[],[],[],[]
pompous-prick-porter,[u'Pompous Prick Porter'],[u'Caramel/Crystal 10L (US)'],[],[u'Caramel/Crystal Malt'],[u'75.57762902180954'],[u'0.45359237'],[u'1.035'],[u'10'],[],[],[],[],[],[],[],[],[]
pompous-prick-porter,[u'Pompous Prick Porter'],[u'Victory (US)'],[],[u'Kilned Malt'],[u'73.41826819261497'],[u'0.226796185'],[u'1.034'],[u'28'],[],[],[],[],[],[],[],[],[]
pompous-prick-porter,[u'Pompous Prick Porter'],[u'Black Patent (UK)'],[],[u'Roasted Malt'],[u'58.30274238825307'],[u'0.226796185'],[u'1.027'],[u'525'],[],[],[],[],[],[],[],[],[]
cascade-of-cascade,[u'Cascade of Cascade'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
cascade-of-cascade,[u'Cascade of Cascade'],[u'2-Row (US)'],[],[u'Base Malt'],[u'79.89635068019865'],[u'4.082331330000001'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
cascade-of-cascade,[u'Cascade of Cascade'],[u'Munich - Light 10L (US)'],[],[u'Kilned Malt'],[u'71.25890736342042'],[u'0.90718474'],[u'1.033'],[u'10'],[],[],[],[],[],[],[],[],[]
bill-goldberg-ipa,[u'Bill Goldberg IPA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
bill-goldberg-ipa,[u'Bill Goldberg IPA'],[u'Liquid Malt Extract - Light'],[],[u'Liquid Extract'],[u'75.57762902180954'],[u'4.535923700000001'],[u'1.035'],[u'4'],[],[],[],[],[],[],[],[],[]
bill-goldberg-ipa,[u'Bill Goldberg IPA'],[u'Caramel/Crystal 10L (US)'],[],[u'Caramel/Crystal Malt'],[u'75.57762902180954'],[u'0.45359237'],[u'1.035'],[u'10'],[],[],[],[],[],[],[],[],[]
dead-guy-clone-ag,[u'Dead Guy Clone AG'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
dead-guy-clone-ag,[u'Dead Guy Clone AG'],[u'2-Row (US)'],[],[u'Base Malt'],[u'79.89635068019865'],[u'9.071847400000001'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
dead-guy-clone-ag,[u'Dead Guy Clone AG'],[u'Munich (BE)'],[],[u'Kilned Malt'],[u'82.05571150939322'],[u'0.90718474'],[u'1.038'],[u'6'],[],[],[],[],[],[],[],[],[]
