beer_id,beer_name,name,laboratory,_type,form,attenuation
big-bens-brown-ale,"[u""Big Ben's Brown Ale ""]",[u'California Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.5']
lemon-saison-1,[u'Lemon Saison'],[u'French Saison'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'81.0']
hefe-iv,[u'Hefe IV'],[u'Hefeweizen IV Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.5']
citra-black-ipa-bc7279,[u'Citra Black IPA'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'73.0']
nut-brown-ale-102,[u'Nut Brown Ale'],[u'Safale S-04'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'73.5']
cascade-ipa-e15d96,[u'Cascade IPA'],[u'American Ale II'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'74.0']
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'Safale S-04'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'73.0']
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'English Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'75.0']
honey-citra-pale,[u'Honey Citra Pale'],[u'American Ale II'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'74.0']
citripa,[u'Citripa'],[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
firework-cream-ale,[u'Firework Cream Ale'],[u'Cream Ale Yeast Blend'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'77.5']
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'73.0']
strawberry-blonde-18,[u'Strawberry Blonde'],[u'California Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.0']
indica-clone,[u'Indica Clone'],[u'Danstar  Nottingham Ale'],[u'Danstar'],[u'Ale'],[u'Dry'],[u'80.0']
rubaeus-clone,[u'Rubaeus Clone'],[u'American Ale Yeast Blend'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.0']
coffee-creamer,[u'Coffee Creamer'],[u'Cream Ale Yeast Blend'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'77.5']
biermuncher-centennial-blonde-all-grain,[u'BierMuncher centennial blonde All Grain'],[u'Nottingham'],[],[],[],[u'77.5']
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
ipa-938,[u'IPA'],[u'Belle Saison'],[u'Danstar'],[u'Ale'],[u'Dry'],[u'82.5']
uerige-alt-5-gallon-version-1,[u'Uerige Alt (5 gallon version)'],[u'German Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
summer-wheat-80,[u'Summer Wheat'],[u'American Wheat'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'76.0']
snoweizen,[u'Snoweizen'],[u'American Hefeweizen Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'72.0']
goose-ipa-b8cc58,[u'Goose IPA'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'75.0']
ipahhh,[u'IPAHHH!'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'70.0']
brulosophy-oktoberfest,[u'Brulosophy Oktoberfest'],[u'German Ale/K\xf6lsch Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'75.0']
peanut-butter-jelly-time-1,[u'Peanut Butter Jelly Time'],[u'British Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'74.0']
pumpkin-beer-27,[u'Pumpkin Beer'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'76.0']
mans-best-friend-1,"[u""Man's Best Friend""]",[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
bitterye,[u'BitteRye'],[u'London Ale III'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'71.0']
yoopers-oatmeal-stout-8,"[u""Yooper's Oatmeal Stout""]",[u'British Ale II'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'74.5']
winter-ipa-28,[u'Winter IPA'],[u'London ESB Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'69.0']
chinook-smash-4,[u'Chinook SMaSH'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'75.0']
ashleighs-knock-you-on-your-ass-beer,"[u""Ashleigh's Knock You on Your Ass Beer""]",[u'American Ale II'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'74.0']
cherry-dark-belgian,[u'Cherry Dark Belgian'],[u'Belgian Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'75.0']
winter-warmer-ale-2013,[u'Winter warmer ale 2013'],[u'French Saison'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'80.0']
welcome-winter-english-ale,[u'Welcome Winter English Ale'],[u'Irish Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'71.5']
vanilla-porter-101,[u'Vanilla Porter'],[u'London Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
hibernation-ale-gdbc-clone,[u'Hibernation Ale - GDBC Clone'],[u'British Ale II'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'74.5']
nosferatu-clone-1,[u'Nosferatu Clone'],[u'Fermentis US-05'],[],[],[],[u'78.0']
programmers-elbow-2,"[u""Programmer's Elbow""]",[u'British Ale II'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'74.5']
campfire-kolsch,[u'Campfire Kolsch'],[u'Kolsch (2565)'],[],[],[],[u'76.0']
its-maibock-too-yeah,"[u""It's Maibock Too, Yeah!!!""]",[u'Bohemian Lager'],[u'Wyeast'],[u'Lager'],[u'Liquid'],[u'75.0']
ezs-biab-american-brown-ale,"[u""EZ's BIAB American Brown Ale""]","[u""Denny's Favorite 50""]",[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
banana-nut-beer-3,[u'Banana Nut Beer'],[u'Weihenstephan Weizen'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
grapefruit-gose-wild-ab638f,[u'Grapefruit Gose Wild'],[u'Lactobacillus Delbrueckii'],[u'White Labs'],[u'Bacteria'],[u'Liquid'],[u'78.5']
grapefruit-gose-wild-ab638f,[u'Grapefruit Gose Wild'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'85.5']
single-hop-ipa-sorachi-ace-scaled,[u'Single Hop IPA - Sorachi Ace - Scaled'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'73.0']
summer-shandy-4,[u'Summer Shandy'],[u'American Wheat'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'76.0']
brooklyn-brewshop-jalapeno-saison,[u'Brooklyn Brewshop Jalapeno Saison'],[u'Safbrew T-58'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'73.0']
noble-trappist-ale-midwest-supplies-kit,[u'Noble Trappist Ale (Midwest Supplies Kit)'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'73.0']
booths-brewing-supply-old-rasputin-clone,"[u""Booth's Brewing Supply Old Rasputin clone""]",[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'76.5']
hoppiness-is-an-ipa-palmer-et-al,[u'Hoppiness is an IPA (Palmer et al)'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'85.5']
single-hop-amarillo-ipa,[u'Single Hop Amarillo IPA'],[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
chinook-ipa-30,[u'Chinook IPA'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'73.0']
