beer_id,beer_name,name,laboratory,_type,form,attenuation
baptism-pale-ale-mk1,[u'Baptism Pale Ale mk1'],[u'California Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.5']
baptism-pale-ale-mk1,[u'Baptism Pale Ale mk1'],[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
out-of-touch-oatemeal-stout,[u'Out of Touch Oatemeal Stout'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'77.5']
party-dog-sierra-nevada-pa-clone,[u'Party Dog (Sierra Nevada PA clone)'],[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
daves-first-cider,"[u""Dave's first cider""]",[u'Bavarian Wheat Blend'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
red-ipa-46,[u'Red IPA'],[u'California Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.5']
dammit-dan-stout,[u'Dammit Dan Stout'],[u'Safale S-04'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'70.0']
blonde-ale-wlp007,[u'Blonde Ale WLP007'],[u'Dry English Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'77.0']
jamils-seb,"[u""Jamil's SEB""]",[u'English Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'67.0']
kayleighs-raspberry-wheat,"[u""Kayleigh's Raspberry Wheat""]",[u'American Hefeweizen Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'72.5']
cascadian-dark-ale-45,[u'Cascadian Dark Ale'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'77.5']
brown-porter-5,[u'Brown porter'],[u'London Ale III'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'71.0']
maris-otter-nelson-sauvin-smash,[u'Maris Otter / Nelson Sauvin SMaSH'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'85.5']
thanksgiving-california-common,[u'Thanksgiving California Common'],[u'California Lager'],[u'Wyeast'],[u'Lager'],[u'Liquid'],[u'75.5']
session-red-1,[u'Session Red 1'],[u'American Ale II'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
the-bees-knees-1,[u'The Bees Knees'],[u'Belgian Wit Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.0']
squirrel-nutkin-brown-ale,[u'Squirrel Nutkin Brown Ale'],[u'English Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'71.0']
tailgate-pale-ale-mosaic-variety,[u'Tailgate Pale Ale (Mosaic Variety)'],[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
scotch-ale-69,[u'Scotch Ale'],[u'Scottish Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'71.0']
drunken-santa-mad-elf-variant,[u'Drunken Santa (Mad Elf Variant)'],[u'Belgian Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'81.5']
zombie-ritual-zombie-dust-clone-biab,[u'Zombie Ritual (Zombie Dust Clone) BIAB'],[u'Safale S-04'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'75.0']
sorachi-french-farmhouse-saison,[u'Sorachi French Farmhouse Saison'],[u'French Saison'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'80.0']
breakwater-pale-ale-2,[u'Breakwater Pale Ale'],[u'American Ale II'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'74.0']
80-5,[u'80/-'],[u'Edinburgh Scottish Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'72.5']
samuel-smiths-oatmeal-stout-clone-4,"[u""Samuel Smith's Oatmeal Stout Clone""]",[u'Irish Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'73.0']
irish-red-ale-midwest-kit,[u'Irish Red Ale (Midwest kit)'],[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
ice-to-69-you,[u'Ice to 69 you'],[u'U.S. West Coast'],"[u""Mangrove Jack's""]",[u'Ale'],[u'Dry'],[u'76.5']
experimental-belgian-dark-strong-ale,[u'Experimental Belgian Dark Strong Ale'],[u'Trappist Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'77.5']
blondage,[u'Blondage'],[u'California Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'78.0']
maple-pecan-nut-brown,[u'Maple Pecan Nut Brown'],[u'British Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'71.0']
session-black-ipa,[u'Session Black IPA'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'73.0']
delerium-tremens-clone-4,[u'Delerium Tremens Clone '],[u'Trappist High Gravity'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'76.0']
chocolate-chipotle-stout-7,[u'Chocolate Chipotle Stout'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'70.0']
elderflower-saison-final,[u'Elderflower Saison Final'],[u'Belgian Saison I Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'88.0']
elderflower-saison-final,[u'Elderflower Saison Final'],[u'Brettanomyces Bruxellensis'],[u'Wyeast'],[u'Bacteria'],[u'Liquid'],[u'80.0']
apricot-wheat-ale-a8eb6a,[u' Apricot Wheat Ale'],[u'American Wheat'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'76.0']
jordans-hard-root-beer,"[u""Jordan's Hard Root Beer""]",[u'Safale S-04'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'73.0']
hbt-2011-russian-imperial-stout-1,[u'HBT 2011 Russian Imperial Stout'],[u'English Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'67.0']
pale-citra-smash-1,[u'Pale Citra SMaSH'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'77.5']
belgian-blond-abbey-ale,[u'Belgian Blond Abbey Ale'],[u'Trappist Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'77.5']
ginger-beer-42,[u'Ginger Beer'],[u'Champagne'],[u'Wyeast'],[u'Champagne'],[u'Liquid'],[u'77.5']
pineapple-saison,[u'Pineapple Saison'],[u'Belle Saison'],[],[u'Ale'],[u'Dry'],[u'82.5']
belgian-dubbel-13,[u'Belgian Dubbel'],[u'Belgian Wit Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'75.0']
rodenbach-grand-cru-clone-2,[u'Rodenbach Grand Cru Clone'],[u'Roeselare Ale Blend'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'80.0']
rodenbach-grand-cru-clone-2,[u'Rodenbach Grand Cru Clone'],[u'Abbey Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'77.5']
flying-dog-doggie-style-classic-pale-ale-clone,[u'Flying Dog Doggie Style Classic Pale Ale Clone'],[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
pumpkin-ale-9516c3,[u'Pumpkin Ale'],[u'Nottingham Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'77.5']
fresh-hop-ipa-16,[u'Fresh Hop IPA'],[u'California Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.5']
2013-january-yotsnake-esb,[u'2013 January YOTSnake (ESB)'],[u'British Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'74.0']
true-german-dunkelweizen,[u'True German Dunkelweizen'],[u'Hefeweizen Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'74.0']
kolsch-45-2,[u'Kolsch 45'],[u'German Kolsch'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'77.5']
hoppy-amber-14,[u'Hoppy Amber'],[u'Safale US-05 Ale Yeast'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'75.0']
heavy-axe-1,[u'Heavy Axe #1'],[u'Edinburgh Scottish Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'72.5']
angel-ipa-de8bb1,[u'Angel IPA'],[u'Abbey Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'77.5']
vanilla-bourbon-stout-362a3e,[u'Vanilla bourbon stout'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'78.0']
oatmeal-stout-248,[u'Oatmeal Stout'],[u'Irish Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'73.0']
rye-pale-ale-78,[u'Rye pale ale'],"[u""Denny's Favorite 50""]",[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
sorachi-ace-saison-8,[u'Sorachi Ace Saison'],[u'Belgian Saison Yeast'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'84.0']
oatmeal-raisin-cookie-amber,[u'Oatmeal Raisin Cookie Amber'],[u'London Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
pacific-pale,[u'Pacific Pale'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'77.5']
easy-wheat-beer,[u'Easy Wheat Beer'],[u'Belgian Wit Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.0']
belgian-blonde-ale-16,[u'Belgian Blonde Ale'],[u'Belgian Abbey II'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
brew-session-esb,[u'Brew Session ESB'],[u'Dry English Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'75.0']
orange-door-blonde,[u'Orange Door Blonde'],[u'California Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.5']
lagunitas-ipa-clone-32,[u'Lagunitas IPA clone'],[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
honey-nut-brown-12,[u'Honey Nut Brown'],[u'Safale S-04'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'70.0']
citra-single-hop-ipa,[u'Citra Single Hop IPA'],[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
sqhell-2-the-extractioning,[u'SQHELL 2: The Extractioning'],[u'Southern German Lager Yeast'],[u'White Labs'],[u'Lager'],[u'Liquid'],[u'76.0']
irish-red-20,[u'Irish red'],[u'Irish Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'72.0']
reapers-mild-sub-willamette,"[u""Reaper's Mild sub willamette""]",[u'Nottingham Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'75.0']
simply-citra,[u'Simply Citra'],[u'Safale US-05'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'73.0']
andes-mint-chocolate-stout-2,[u'Andes Mint Chocolate Stout'],[u'Irish Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'71.5']
exploding-peach-wheat,[u'Exploding Peach Wheat'],[u'Hefeweizen IV Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'77.0']
bronco-orange-hefeweizen-biab,[u'Bronco Orange Hefeweizen BIAB'],[u'Hefeweizen IV Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.5']
christmas-ale-56,[u'Christmas Ale'],[u'American Ale II'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'74.0']
celtic-sunrise-irish-red-ale,[u'Celtic Sunrise Irish Red Ale'],[u'Irish Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'71.5']
z-amber-ale,[u'Z Amber Ale'],[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
herms-l-red-ranger,[u'Herms\xf8l - Red Ranger'],[u'Irish Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'73.0']
cherry-saison-8,[u'Cherry Saison'],[u'French Saison'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'82.0']
snow-shovel-helles-2011-06-09-version,[u'Snow Shovel Helles (2011-06-09 version)'],[u'German Bock Lager Yeast'],[u'White Labs'],[u'Lager'],[u'Liquid'],[u'80.0']
vanilla-and-coffee-porter-3,[u'Vanilla & Coffee Porter'],[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
moose-drool-2,[u'Moose Drool'],[u'London Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'75.0']
golden-magic-hefeweizen,[u'Golden Magic Hefeweizen'],[u'Hefeweizen Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'74.0']
chocolate-oatmeal-stout-ab8b1f,[u'chocolate oatmeal stout'],[u'Danstar  Nottingham Ale'],[],[u'Ale'],[u'Dry'],[u'78.5']
nasty-nates-armadillo,"[u""Nasty Nate's Armadillo""]",[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
brians-bawdy-berliner,"[u""Brian's Bawdy Berliner""]",[u'Safbrew WB-06'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'77.5']
an-ale-supreme,[u'An Ale Supreme'],[u'Thames Valley Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'77.0']
rye-saison-89,[u'RYE SAISON'],[u'French Saison'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'85.0']
oatmeal-stout-toasted,[u'Oatmeal Stout (Toasted)'],[u'British Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'74.0']
blueberry-spring-beer,[u'Blueberry Spring Beer'],[u'Nottingham Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'77.5']
country-bumpkinweizen,[u'Country Bumpkinweizen'],[u'Bavarian Weizen Yeast'],[u'White Labs'],[u'Wheat'],[u'Liquid'],[u'75.0']
centennial-blonde-56,[u'Centennial Blonde'],[u'Nottingham Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'77.5']
wilder-ginger,[u'Wilder Ginger'],[u'Nottingham Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'77.5']
dont-push-back-strawberry-blonde,"[u""Don't Push Back Strawberry Blonde""]",[u'Safale S-04'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'70.0']
sqhell,[u'SQHELL'],[u'Munich Helles'],[u'White Labs'],[u'Lager'],[u'Liquid'],[u'77.0']
weihenstephaner-hefe-weissbier-1-1,[u'Weihenstephaner Hefe Weissbier #1'],[u'Hefeweizen Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'77.0']
2-summer-smash-ipa,[u'#2 Summer SMaSH IPA'],[u'California Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.0']
oud-bruin-ea27b5,[u'Oud Bruin'],[u'Roeselare Ale Blend'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'80.0']
citra-mosaic-half-hearted-edec03,[u'Citra Mosaic Half Hearted'],[u'U.S. West Coast'],"[u""Mangrove Jack's""]",[u'Ale'],[u'Dry'],[u'76.5']
bismarck-pils,[u'Bismarck Pils'],[u'Pilsner Lager Yeast'],[u'White Labs'],[u'Lager'],[u'Liquid'],[u'75.0']
tank-7-farmhose-clone,[u'tank 7 farmhose clone'],[u'Farmhouse 3726'],[],[],[],[u'81.0']
azacca-smash-1,[u'Azacca SMASH'],[u'California Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.5']
fullers-london-pride-2,"[u""Fuller's London Pride""]",[u'London ESB Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'69.0']
tan-clone-bass-ale,[u'Tan (Clone - Bass Ale)'],[u'Thames Valley Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'77.0']
hefeweizen-72,[u'Hefeweizen'],[u'Weihenstephan Weizen'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
optimator-beer-captured-recipe,[u'Optimator - Beer Captured Recipe'],[u'Munich Lager'],[u'Wyeast'],[u'Lager'],[u'Liquid'],[u'72.0']
irish-red-2011,[u'Irish Red 2011'],[u'London Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'75.0']
amerikanische-kolsch-nummer-eins,[u'Amerikanische Kolsch Nummer Eins'],[u'K\xf6lsh'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
2012-scottish-ale,[u'2012 Scottish Ale'],[u'Scottish Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'71.0']
mighty-munich-dunkel,[u'Mighty Munich Dunkel'],[u'Munich Lager'],[u'Wyeast'],[u'Lager'],[u'Liquid'],[u'75.0']
milk-chocolate-peanut-butter-stout,[u'Milk Chocolate Peanut Butter Stout'],[u'California Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.5']
fruit-bomb-apa,[u'Fruit Bomb APA'],[u'California Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.5']
voluptious-milk-stout,"[u'Voluptious, Milk Stout']",[u'California Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'76.5']
centennial-esb-1,[u'Centennial ESB'],[u'Safale S-04'],[u'Fermentis'],[u'Ale'],[u'Dry'],[u'80.0']
permafrost-white-ipa-northern-brewer,[u'Permafrost White IPA (Northern Brewer)'],[u'Belgian Witbier'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'74.0']
rosemary-orange-saison-3-gal,[u'Rosemary Orange Saison (3 gal)'],[u'French Saison'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'78.0']
13003-black-pepper-saison,[u'#13003 Black Pepper Saison'],[u'Belle Saison'],[u'Danstar'],[u'Ale'],[u'Slant'],[u'92.5']
houblon-chouffe-aka-hopchewy,[u'Houblon Chouffe aka HopChewy'],[u'Belgian Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'82.0']
citra-pale-ale-124,[u'Citra Pale Ale'],[u'San Diego Super Yeast WLP090'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'79.5']
session-able-ipa,[u'Session-able IPA'],[u'Dry English Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'75.0']
dogfish-head-punkin-clone-1,[u'Dogfish Head Punkin Clone'],[u'American Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
spjs-strong-ginger-beer-ging-arrg-beer,"[u'SPJ\'s Strong Ginger Beer (""Ging-Arrg!! Beer"")']",[u'Cider'],[u'Wyeast'],[u'Champagne'],[u'Liquid'],[u'78.0']
kona-coffee-stout,[u'Kona Coffee Stout'],[u'Irish Ale'],[u'Wyeast'],[u'Ale'],[u'Liquid'],[u'75.0']
jamils-weizenbock,"[u""Jamil's Weizenbock""]",[u'Bavarian Weizen Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'75.0']
munich-dunkel-28,[u'Munich Dunkel'],[u'Saflager W-34/70'],[u'Fermentis'],[u'Lager'],[u'Dry'],[u'70.0']
english-bitter-45,[u'English Bitter'],[u'British Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'72.0']
robert-burns-250th-anniversary-auld-reekie-wee-heavy-scotch-ale,"[u'Robert Burns\' 250th Anniversary ""Auld Reekie"" Wee Heavy Scotch Ale']",[u'Edinburgh Scottish Ale Yeast'],[u'White Labs'],[u'Ale'],[u'Liquid'],[u'73.0']
